name	status	update	version	update_version	auto_update
advanced-custom-fields-pro	active	available	6.6.1	6.7.0.2	off
all-in-one-wp-migration	inactive	available	7.100	7.101	off
all-in-one-wp-migration-unlimited-extension-master	inactive	none	2.76		off
cleantalk-spam-protect	inactive	available	6.71	6.71.1	on
contact-form-7	active	none	6.1.4		on
enable-media-replace	inactive	none	4.1.7		on
fix-tour-urls	inactive	none	1.0		off
flamingo	active	none	2.6.1		on
ga-google-analytics	inactive	none	20251120		on
goodlayers-core	active	none	1.7.6		on
goodlayers-core-personnel	active	none	1.2.6		on
goodlayers-core-portfolio	active	none	1.3.3		on
goodlayers-core-twitter	active	none	1.0.3		on
hummingbird-performance.disabled	inactive	available	3.16.0	3.18.1	off
dominant-color-images	inactive	none	1.2.0		on
jetpack	inactive	none	15.4		on
jetpack-boost	inactive	none	4.5.5		on
matomo	inactive	none	5.6.1		on
webp-uploads	inactive	none	2.6.1		on
jonradio-multiple-themes-disabled	inactive	none	7.1.1		off
newsletter	inactive	none	9.1.1		on
performance-lab	inactive	none	4.0.1		on
polylang-pro	active	none	3.7.3		off
qualitour-acf-fields	active	none	1.0.0		off
qualitour-google-reviews	active	none	1.0.1		off
qualitour-headless-api	active	none	1.0.1		off
qualitour-tour-taxonomy-assign	active	none	1.0.0		off
seo-by-rank-math	inactive	none	1.0.262		on
really-simple-ssl	inactive	none	9.5.6		on
custom-css-js	inactive	none	3.51.3		on
wp-smushit	inactive	none	3.23.2		on
sqlite-object-cache	inactive	none	1.6.0		on
tour-live-sync	active	none	1.2.0		off
tourmaster-disabled	active	none	4.2.5		off
tour-migration-polylang	active	none	1.0.0		off
ultimate-floating-widgets	inactive	none	3.0		on
wordfence	inactive	none	8.1.4		on
wp-extended-search	inactive	none	2.2.1		on
duplicate-post	inactive	none	4.5		on
create-attraction-tickets	must-use		1.0.0		off
debug-tour-meta	must-use				off
link-tour-translations	must-use		1.1		off
woocommerce-analytics-proxy-speed-module	must-use		1.0.0		off
object-cache.php	dropin				off
